2271721, 2944806, 2797534.0, 0
2271745, 2888497, 2797150.0, 0
2271747, 2819110, 2798110.0, 0
2271749, 2882302, 2798302.0, 0
2271752, 2901341, 2798814.0, 0
2271754, 2860278, 2797278.0, 0
2271756, 3090946, 2798174.0, 0
2271758, 2883055, 2797150.0, 0
2271760, 3192256, 2798238.0, 0
2271762, 2816934, 2795934.0, 0
2271765, 2993388, 2798366.0, 0
2271766, 2984116, 2797854.0, 0
2271771, 2902918, 2797918.0, 0
2271773, 2826892, 2797406.0, 0
2271775, 2881406, 2797406.0, 0
2271778, 2871095, 2797534.0, 0
2271780, 2839406, 2797406.0, 0
2271782, 2966302, 2798302.0, 0
2271784, 2881982, 2797982.0, 0
2271786, 2838702, 2796702.0, 0
2271788, 3006376, 2797726.0, 0
2271790, 2913608, 2796958.0, 0
2271792, 2797534, 2797534.0, 0
2271794, 3196437, 2797406.0, 0
2271796, 2967690, 2797790.0, 0
2271798, 4047046, 2797406.0, 0
2271800, 4009626, 2797726.0, 0
2271802, 2860790, 2797790.0, 0
2271804, 3278639, 2797406.0, 0
2271806, 2967626, 2797726.0, 0
2271808, 2914633, 2796702.0, 0
2271810, 2902406, 2797406.0, 0
2271813, 2945174, 2798174.0, 0
2271815, 3040696, 2798046.0, 0
2271818, 3389601, 2798430.0, 0
2271822, 4665803, 2796766.0, 0
2271867, 3347317, 2797854.0, 0
2271893, 2993184, 2797534.0, 0
2271896, 2892095, 2797534.0, 1
2271898, 2798046, 2798046.0, 0
2271900, 2938159, 2797598.0, 0
2271902, 3445757, 2797662.0, 0
2271904, 3111531, 2798494.0, 0
2271908, 3271982, 2797982.0, 0
2271910, 2997992, 2797342.0, 0
2271912, 2883754, 2797854.0, 0
2271914, 2861110, 2798110.0, 0
2271916, 3471622, 2797790.0, 0
2271919, 2839406, 2797406.0, 0
2271921, 2839598, 2797598.0, 0
2271927, 2818726, 2797726.0, 0
2271929, 3039726, 2797726.0, 0
2271931, 2846570, 2797406.0, 0
2271933, 2818278, 2797278.0, 1
2271935, 3338766, 2796766.0, 0
2271938, 3184225, 2798366.0, 0
2271942, 2817702, 2796702.0, 0
2271944, 2925662, 2797790.0, 0
